mark LS1_CB02:BPM_D1295 0.000000 -28.000000 
drift DRIFT 0.055880 0.020000 
drift DRIFT 0.076136 0.020000 
solenoid LS1_CB02:SOL1_D1299 0.250000 0.020000 5.000000 
mark LS1_CB02:DCH_D1299 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
mark LS1_CB02:DCV_D1299 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CB02:SOL1_D1299 0.250000 0.020000 5.000000 
drift DRIFT 0.076136 0.020000 
drift DRIFT 0.098602 0.020000 
rfcavity LS1_CB02:CAV2_D1305 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB02:CAV3_D1309 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB02:CAV4_D1313 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.095595 0.017000 
mark LS1_CB02:BPM_D1315 0.000000 -28.000000 
drift DRIFT 0.055880 0.020000 
drift DRIFT 0.076136 0.020000 
solenoid LS1_CB02:SOL2_D1319 0.250000 0.020000 4.900000 
mark LS1_CB02:DCH_D1319 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
mark LS1_CB02:DCV_D1319 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CB02:SOL2_D1319 0.250000 0.020000 4.900000 
drift DRIFT 0.076136 0.020000 
drift DRIFT 0.098602 0.020000 
rfcavity LS1_CB02:CAV5_D1325 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB02:CAV6_D1329 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB02:CAV7_D1333 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.095595 0.017000 
mark LS1_CB02:BPM_D1335 0.000000 -28.000000 
drift DRIFT 0.055880 0.020000 
drift DRIFT 0.076136 0.020000 
solenoid LS1_CB02:SOL3_D1339 0.250000 0.020000 5.510000 
mark LS1_CB02:DCH_D1339 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
mark LS1_CB02:DCV_D1339 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CB02:SOL3_D1339 0.250000 0.020000 5.510000 
drift DRIFT 0.076136 0.020000 
drift DRIFT 0.098602 0.020000 
rfcavity LS1_CB02:CAV8_D1345 0.300000 0.017000 80.500000 1.000000 -40.000000
drift DRIFT 0.175312 0.017000 
drift DRIFT 0.072000 0.020000 
drift DRIFT 0.116000 0.020000 
mark LS1_WB02:BPM_D1350 0.000000 -28.000000 
drift DRIFT 0.074000 0.020000 
mark LS1_WB02:PM_D1350 0.000000 -28.000000 
drift DRIFT 0.091000 0.020000 
drift LS1_WB02:PORT_D1351 0.000000 0.020000 
drift DRIFT 0.099000 0.020000 
drift DRIFT 0.072000 0.020000 
drift DRIFT 0.175312 0.020000 
rfcavity LS1_CB03:CAV1_D1356 0.300000 0.017000 80.500000 1.000000 -40.000000
drift DRIFT 0.095595 0.020000 
mark LS1_CB03:BPM_D1359 0.000000 -28.000000 
drift DRIFT 0.055880 0.020000 
drift DRIFT 0.076136 0.020000 
solenoid LS1_CB03:SOL1_D1363 0.250000 0.020000 5.560000 
mark LS1_CB03:DCH_D1363 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
mark LS1_CB03:DCV_D1363 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CB03:SOL1_D1363 0.250000 0.020000 5.560000 
drift DRIFT 0.076136 0.020000 
drift DRIFT 0.098602 0.020000 
rfcavity LS1_CB03:CAV2_D1368 0.300000 0.017000 80.500000 1.000000 -21.000000
